BV1vujhzvEGt,2025-05-24,p2,32:06,32:40,密码的周一,,
,,,57:43,01:00:01,爱的魔法,,
,,p3,00:00,00:34,爱的魔法,follow
,,,02:47,06:48,锦鲤抄,,
,,,09:03,11:32,Viva La Vida 1999,,
,,,13:37,17:16,郎的诱惑,,
BV1uV7yzPECc,2025-06-01,p2,26:17,30:37,简单爱,,
,,,39:05,42:16,夜车,,
,,,43:45,47:08,兔子先生,,
,,,51:16,55:16,孤独她呀,,
,,,56:57,01:00:01,香格里拉,,
,,p3,00:00,00:36,香格里拉,follow 半首
BV1GKT2znEqL,2025-06-07,p1,43:04,46:37,告白气球,,
,,,47:29,50:49,握不住的他,,
,,p2,01:21,05:40,那么骄傲,,
,,,09:30,13:39,被风吹过的夏天,,
,,,24:42,29:35,飞鸟和蝉,,
,,,32:51,36:41,凉城,,
,,,39:31,43:30,我不需要每一个人都爱我,,
,,,47:22,51:50,形容,,
,,,54:47,58:46,大眠,,
,,p3,01:07,05:40,漠河舞厅,,
,,,20:45,25:42,带我去找夜生活,,
,,p4,19:19,23:58,夏夜最后的烟火,,
,,,,,,,
